Context (stripped away),Speaker,English,Translated,File name,Line number
,,It pains me to see such inept flying.,看到这样糟糕的飞行让我很痛心。,Dream/asioLessonFlightFailed,68
,,"Quickly, Otus, they are short on water in Vellie!",快点，欧图斯，维里村正需要水！,Dream/asioLessonPickups,105
,,People need our help!,大家需要我们的帮助！,Dream/asioLessonPickups,121
,,The drought isn't as patient<nl>with your sluggishness as I am!,这场旱灾可不会像我一样耐心地<nl>等待你的迟钝。,Dream/asioLessonPickups,134
,,Why have you left the<nl>water jug on the ground?!,你怎么把水壶忘在地上了？！,Dream/asioLessonPickups,149
,,Pick it up immediately!<nl>Hurry up!,立即捡起来！快点！,Dream/asioLessonPickups,173
,,Hang on...,等等……,Dream/asioLessonPickups,211
,,You've been sloshing the jug around!,你这水壶拿得摇摇晃晃的！,Dream/asioLessonPickups,211
,,Let me check if there's any water left.,让我检查下里面还有没有水。,Dream/asioLessonPickups,211
,,Put the jug down here.,在这边放下水壶。,Dream/asioLessonPickups,243
,,Hey! <30>Stop fooling around!,嘿！<30>不要在那犯傻！,Dream/asioLessonPickupsReminder,14
,,Put the jug down over here!,在这边放下水壶！,Dream/asioLessonPickupsReminder,14
,,"Place the jug here, next to me!",把水壶放在我旁边！,Dream/asioLessonPickupsReminder,14
,,Are you blind?! <30>Put it down there!,你瞎了吗？！<30>为何要放在那边！,Dream/asioLessonPickupsReminder,14
,,NO!,不！,Dream/asioLessonPickupsFailed,34
,,"I told you to put it down,<nl>not to smash it!",我是让你放下来，不是砸下来！,Dream/asioLessonPickupsFailed,41
,,How are we supposed to bring<nl>water to the villagers now?!,现在我们怎么把水送到村民手上？！,Dream/asioLessonPickupsFailed,65
,,I will not forget this!,我不会忘记这次失态的！,Dream/asioLessonPickupsFailed,83
,,And I will make sure that<nl>the others are aware of what<nl>your incompetence has cost us!,我一定会让其他人知道是因为<nl>你的无能才给村子带来那么多<nl>损失！,Dream/asioLessonPickupsFailed,87
,,Do you understand?!,听明白了吗？！,Dream/asioLessonPickupsFailed,91
,,"I cannot describe how<nl>disappointed I am in you, Otus.",我都不知道应该怎么表达对你<nl>的失望之情，欧图斯。,Dream/asioLessonPickupsFailed,120
,,Leave me. <30>I will bring water to Vellie myself.,滚吧。<30>我会亲自把水送到维里村的。,Dream/asioLessonPickupsFailed,124
,,"Otus, you have failed me again<30> and again<30> and again.",欧图斯，你一次<30>、一次<30>、又一次地辜负我。,Dream/asioLessonPickupsFailed,192
,,Today there are no lessons.,今天不上课了。,Dream/asioLessonPickupsFailed,221
,,All you need to do today<30><nl>is to talk to the other villagers.,今天你要做的就是<30>和其他村民<nl>聊聊天。,Dream/asioLessonPickupsFailed,241
,,"Simple enough, right?<nl><30>Even for you.",够简单吧？<30>即便是对你而言。,Dream/asioLessonPickupsFailed,246
,,Have them tell you what they<nl>think of you<30> and your i<2>n<2>e<2>p<2>t<2>i<2>t<2>u<2>d<2>e<10>.,让村民说说他们是怎么看你的，<nl><30>以及你有<2>多<2>无<2>能<10>。,Dream/asioLessonPickupsFailed,251
,,Don't come back until you<nl>know what you need to know.,在你搞清楚村民对你的看法前<nl>不要回来了。,Dream/asioLessonPickupsFailed,256
,,<b>[1]Otus!<b>,<b>[1]欧图斯！<b>,otus_house_introGDC,63
,,[1]OTUS!!!,[1]欧图斯！！！,otus_house_introGDC,112
,,"Finally awake,<nl>are you?",你终于醒了，是吧？,otus_house_introGDC,130
,,*S<3>i<3>g<3>h*,*长<3>叹<3>口<3>气*,otus_house_introGDC,145
,,We are going to be late!,我们要迟到了！,otus_house_introGDC,156
,,"Good thing I came here to wake you,<nl>or you would have slept for another hour!",幸好我到这来叫醒你，不然你<nl>得再睡上一个小时！,otus_house_introGDC,160
,,Get out of bed immediately<nl>and meet me outside.,快点起床，我在外边等你。,otus_house_introGDC,168
,,"Welcome, Master Otus.",欢迎，欧图斯少爷。,OtusHouse/onEnter,31
,,...,……,OtusHouse/onEnter,35
,,...I wanted to speak with you and Geddy.,……我有些话想跟你和格迪说。,OtusHouse/onEnter,44
,,I think it is time to<20> discuss a few things.,我想是时候该<20>讨论一些事了。,OtusHouse/onEnter,44
,,...And<30> I also thought you might<nl>both need someone to talk to.,……而且<30>我想你们俩个可能需<nl>要可以倾诉的人。,OtusHouse/onEnter,53
,,"Ah, Master Otus,<30> Master Geddy.",啊，欧图斯少爷，<30>格迪少爷。,OtusHouse/onEnter,118
,,"Forgive me for hiding in your home, Otus.",原谅我躲在你的房子里，欧图斯。,OtusHouse/onEnter,118
,,It would do no good if the locals saw<nl>you fraternizing with a former pirate.,要是让村民看到你和原海盗有<nl>来往就不好办了。,OtusHouse/onEnter,118
,,Especially after <30>what has happened.,尤其是<30>那件事发生了以后。,OtusHouse/onEnter,118
,,"...Advent is destroyed,<30> and <30>there<nl>was nothing we could do to stop it.",……爱文德城已经毁了，<60>我们<nl>无法阻止灾难的发生。,OtusHouse/onEnter,129
,,"Molstrom, <30>and the pirates, <30><nl>why would they do such a thing?",摩斯特罗，<30>和那些海盗，<30>他们<nl>为什么要这样做？,OtusHouse/onEnter,129
,,<15>.<15>.<15>.,<15>…<15>…<15>…,OtusHouse/onEnter,138
,,Alphonse?.. <30>Is there<nl>something you're not telling us?,阿尔冯斯？……<nl><30>你有什么事情瞒着我们吗？,OtusHouse/onEnter,143
,,ALPHONSE!?,阿尔冯斯！？,OtusHouse/onEnter,168
,,"If you know something, <30>ANYTHING,<nl><30>that can aid us against Molstrom..!",如果你知道什么，<30>任何<30>能够帮<nl>助我们对抗摩斯特罗的情报……！,OtusHouse/onEnter,168
,,...It might help us prevent<nl>yet another attack on <b>Vellie<b>!,……也许能帮助我们阻止针对<nl><b>维里村<b>发起的另一次袭击！,OtusHouse/onEnter,168
,,"You are most certainly right, Master Geddy.",你说得对，格迪少爷。,OtusHouse/onEnter,185
,,Molstrom<15>.<15>.<15>. <60>The pirates<15>.<15>.<15>. <60>And myself.,摩斯特罗<15>…<15>…<15>…<60>海盗<15>…<15>…<15>…<60>和我。,OtusHouse/onEnter,197
,,We were all <15>c<3>r<3>e<3>a<3>t<3>e<3>d <45>by the <b>Owls<b>.,我们都是由<45><b>猫头鹰<b><15>创<3>造<3>出<3>来<3>的。,OtusHouse/onEnter,201
,,...,……,OtusHouse/onEnter,216
,,WHAT!?,什么！？,OtusHouse/onEnter,235
,,"Your mentor is right, Otus.",你的老师是对的，欧图斯。,OtusHouse/onEnter,251
,,Molstrom is gathering ancient <b>owl relics<b>.,摩斯特罗正在收集古老的<b>猫头鹰圣物<b>。,OtusHouse/onEnter,251
,,"And when he gets them all,<nl>he will be unstoppable.",等他集齐了所有圣物，就没有<nl>人能阻止得了他了。,OtusHouse/onEnter,251
,,I will tell you what I know...,我会告诉你我所知道的一切……,OtusHouse/onEnter,270
,,"Wait, so... <30>You're saying the pirates<nl>destroyed Advent just to get the relic?",等等，所以……<30>你是说，那些<nl>海盗摧毁爱文德城仅仅是为了<nl>得到圣物？,OtusHouse/onEnter,363
,,"Yes, Master Geddy. <30><nl>And now, <30>only <b>one remains<b>.",是的，格迪少爷。<nl><30>现在，<30>只剩<b>一件圣物还没被拿到<b>。,OtusHouse/onEnter,368
,,"If he gets the <15>third and <15>final Relic, <nl><30>I'm afraid Molstrom will be unstoppable.",如果摩斯特罗拿到了<15>第三件<15>，<nl>也就是最后一件圣物，<30>恐怕谁<nl>都阻止不了他。,OtusHouse/onEnter,373
,,Is there nothing we can do?,我们没办法阻止这件事吗？,OtusHouse/onEnter,385
,,"There is, but...",有是有，不过……,OtusHouse/onEnter,400
,,...I admit I am hesitant.,……我在犹豫要不要说出来。,OtusHouse/onEnter,409
,,My suggestion to try to stop the pirates<nl>in Advent put your lives in danger.,我在爱文德城提出的阻止海盗<nl>的建议让你们陷入了危机。,OtusHouse/onEnter,409
,,Perhaps <30>it would be best if we didn't<nl>try to meddle with the pirates anymore.,也许<30>我们不再插手海盗的事才<nl>是最好的选择。,OtusHouse/onEnter,409
,,The pirates are threatening Vellie!<nl><30>We have to try and stop them!,海盗们正对维里村虎视眈眈！<nl><30>我们必须阻止他们！,OtusHouse/onEnter,420
,,What happened in Advent wasn't your fault!,在爱文德城发生的事不是你的错！,OtusHouse/onEnter,420
,,I screwed up most of all! <60>My sole<nl>duty was to protect us from pirates!,是我把一切都搞砸了！<60>我唯一<nl>的职责就是保护大家免受海盗<nl>的威胁！,OtusHouse/onEnter,420
,,"If we don't fight back against the pirates,<nl><60>I can't ever make things right!",如果我们不去抵抗海盗，<60>那我<nl>所犯的错误就永远无法弥补了！,OtusHouse/onEnter,437
,,The pirates' next destination<nl>will be a ruin<20> called the <b>Floating Continent<b>.,海盗接下来的目标是一处遗迹，<nl><20>那里被称为<b>漂浮大陆<b>。,OtusHouse/onEnter,452
,,"In an ancient owl structure there, the owls<nl>hid the last relic that Molstrom needs.",在那里有一座古老的猫头鹰建<nl>筑，猫头鹰把摩斯特罗需要的<nl>最后一件圣物藏在了那里。,OtusHouse/onEnter,452
,,"We must leave Vellie, and fly high up into <b>Strato<b>.",我们得先离开维里村，然后飞<nl>入高空的<b>平流区<b>。,OtusHouse/onEnter,452
,,That is where we will find the Floating Continent.,在那里我们就能找到漂浮大陆。,OtusHouse/onEnter,452
,,Then we should go to <b>Strato<b> now!,那么我们现在就出发去<b>平流区<b>吧！,OtusHouse/onEnter,463
,,It's the only way we can save Vellie.,只有这样我们才能拯救维里村。,OtusHouse/onEnter,463
,,I shall be in hiding here<nl>until you get out of the village.,在你们离开村子前我就躲在这里。,OtusHouse/onEnter,469
,,"Alright, Otus, you ready?",好的，欧图斯，你收拾好了吗？,OtusHouse/onEnter,477
,,Let's go!,我们出发吧！,OtusHouse/onEnter,477
,,Otus?,欧图斯？,OtusHouse/onEnter,566
,,Otus! <30>You're awake!,欧图斯！<30>你终于醒了！,OtusHouse/onEnter,584
,,.<20>.<20>.,…<20>…<20>…,OtusHouse/onEnter,591
,,"I'm sorry, Otus...",我很抱歉，欧图斯……,OtusHouse/onEnter,600
,,I should never have left you guys alone.,我不该把你们单独留下的。,OtusHouse/onEnter,600
,,"As soon as I got back to Vellie,<nl>I knew I'd made a mistake.",我一回到维里村，就意识到自<nl>己犯了个大错。,OtusHouse/onEnter,600
,,"That Twig guy, he was just<nl>being used by the pirates.",那个叫特维格的家伙，也只是<nl>被海盗们利用而已。,OtusHouse/onEnter,600
,,"I knew that,<30> but...",我心里是清楚的，<30>但……,OtusHouse/onEnter,600
,,I think I wanted someone<nl>to blame<20> after Advent.,在爱文德事件发生以后，我下<nl>意识地想要<20>指责某人来发泄。,OtusHouse/onEnter,600
,,I made my way up to the pirates<nl>and went looking for you straight away.,我潜入海盗船后便开始寻找你<nl>的踪影。,OtusHouse/onEnter,613
,,Stole a pirate chopper and everything.,还偷了海盗砍刀和其它东西。,OtusHouse/onEnter,613
,,I'm glad I made it in time.,我很高兴能赶得上。,OtusHouse/onEnter,613
,,Molstrom seemed furious...,摩斯特罗看起来很生气……,OtusHouse/onEnter,620
,,But enough about this.,今天就先说到这吧。,OtusHouse/onEnter,635
,,Twig! <30>Alphonse!<30> Otus is awake!,特维格！<30>阿尔冯斯！<30>欧图斯醒了！,OtusHouse/onEnter,635
,,Get in here!,进来吧！,OtusHouse/onEnter,635
,,"Welcome back, Otus!",欢迎回来，欧图斯！,OtusHouse/onEnter,711
,,You've been asleep for so long now!,你已经睡得够久了！,OtusHouse/onEnter,711
,,"I want to talk about what to do next, guys.",我想商量下接下来要怎么办，<nl>伙计们。,OtusHouse/onEnter,717
,,"Otus, <30>Alphonse says he<nl>saw someone fly off with the Relics.",欧图斯，<30>阿尔冯斯说他看到有<nl>人拿着圣物飞走了。,OtusHouse/onEnter,717
,,Indeed. <30>And that someone went flying up <b>past Mesos<b>.,没错。<30>那个人飞越了<b>中间区<b>上空。,OtusHouse/onEnter,730
,,"We haven't figured out who took the relics, yet, <30>but.<5>.<5>.",我们还没查出是谁拿走了圣<nl>物，<30>但…<5>…<5>。,OtusHouse/onEnter,739
,,...But whoever took them must<nl>have been behind all of this.,……但不管是谁，那个人肯定<nl>是幕后主使。,OtusHouse/onEnter,748
,,The pirates were being fed<nl>information about the Relics.,他一直透露圣物的消息给海盗。,OtusHouse/onEnter,748
,,"Someone told them to search<nl>in Vellie,<30> and in Advent.",告诉他们圣物藏在维里村<30>和<nl>爱文德城。,OtusHouse/onEnter,748
,,It would seem that whoever led<nl>them to attack these settlements...,这么说的话，那个指使海盗<nl>进攻村落的家伙……,OtusHouse/onEnter,748
,,...Have now finally gotten the Relics they wanted.,……现在终于拿到了他想要的圣物。,OtusHouse/onEnter,748
,,So the pirates were just being used?,所以那些海盗只是被利用了？,OtusHouse/onEnter,757
,,Serves'em right!,真是活该！,OtusHouse/onEnter,772
,,Indeed... But whoever did this must<nl>expect Molstrom to retaliate.,没错……但不管是谁设下了这<nl>个圈套，肯定知道这样做会遭<nl>到摩斯特罗的报复。,OtusHouse/onEnter,785
,,They must be planning to use the Relics soon.,他们肯定在计划着尽快使用这些圣物。,OtusHouse/onEnter,785
,,"With the power of the Relics, they<nl>might escape even Molstrom's wrath.",有了圣物的力量，就算是怒气<nl>冲冲的摩斯特罗也很难伤到他<nl>们。,OtusHouse/onEnter,785
,,Is there any way we can get to them before that happens?,我们能赶在这事发生前找到他们吗？,OtusHouse/onEnter,796
,,I don't know...,我不知道……,OtusHouse/onEnter,801
,,It's impossible to fly past the Mesosphere.,要飞越中间层几乎是不可能的。,OtusHouse/onEnter,801
,,We would have to find some way to travel up there.,我们得找个法子去到那里。,OtusHouse/onEnter,801
,,"With Advent destroyed, finding a ship won't be easy...",爱文德城被摧毁后，要找一艘<nl>船可不容易……,OtusHouse/onEnter,801
,,"Well, let's start looking.",好吧，那我们从现在开始找吧。,OtusHouse/onEnter,809
,,There's gotta be some way!,肯定会有办法的！,OtusHouse/onEnter,809
,,"There's one more thing, Otus.",还有一件事，欧图斯。,OtusHouse/onEnter,822
,,Don't be too disappointed when we get to Vellie.,等会到了维里村，你别太沮丧。,OtusHouse/onEnter,822
,,Things have<20> changed a bit.,那里<20>有了一些变化。,OtusHouse/onEnter,822
,,You owls sure are hard-workin'!,你们猫头鹰真是一群劳模！,Vellie/tobyCheck,25
,,"Strix's students are scurrying about<nl>keeping watch, all the way from <b>Advent<b>...",斯吉克斯的学生为了放哨的事<nl>整天奔波在通往<b>爱文德城<b>的路<nl>上……,Vellie/tobyCheck,25
,,...And here you are too!,……而且你也这样！,Vellie/tobyCheck,25
,,I prefer to relax in my hot spring!,我还是更喜欢待在温泉里放松身心！,Vellie/tobyCheck,25
,,Heheheh!,嘿嘿嘿！,Vellie/tobyCheck,33
,,Yer' turnin' a little red there lad!,小伙，你的脸有点红了！,Vellie/tobyCheck,50
,,I guess you're not as thick skinned as old Toby here.,我想你不像老托比这样皮粗肉厚。,Vellie/tobyCheck,50
,,Even the <b>big-ol pirate capt'n<b><nl>would rust up in these here waters!,即使是<b>超级海盗舰长<b>待在这水<nl>里也会生锈的！,Vellie/tobyCheck,50
,,Yer' not doing bad in this heat lad!,小伙，你的耐热功力不错嘛！,Vellie/tobyCheck,60
,,I guess you might be as thick skinned as old Toby here.,我想你可能像老托比一样皮粗肉厚。,Vellie/tobyCheck,60
,,Even the <b>big-ol pirate capt'n<b><nl>would rust up in these here waters!,即使是<b>超级海盗舰长<b>待在这水<nl>里也会生锈的！,Vellie/tobyCheck,60
,,Heheheh!,嘿嘿嘿！,Vellie/tobyCheck,68
,,"With age, you'll endure plenty of hard times lad.",随着岁月流逝，你会遇到许多<nl>困难，小伙。,Vellie/tobyCheck,83
,,You'll get tougher and tougher each day out there!,但活着的每一天，都能让你变<nl>得更加坚强！,Vellie/tobyCheck,83
,,Not me tho'!,不过这不适用于我！,Vellie/tobyCheck,83
,,I've been in this spring my entire life!,因为我的人生都是在温泉里度过的！,Vellie/tobyCheck,83
,,Heheheh!,嘿嘿嘿！,Vellie/tobyCheck,91
,,"What's wrong, Otus?",出了什么事，欧图斯？,Vellie/tobyCheck,127
,,Did Strix's students do somethin'?,斯吉克斯的学生做了什么吗？,Vellie/tobyCheck,127
,,"Don't mind them, Otus!",别理他们，欧图斯！,Vellie/tobyCheck,127
,,They're just trying to get you down.,他们就是想让你难堪。,Vellie/tobyCheck,127
,,"Here, just soak a bit in the hot spring.<nl>That'll make you feel better.",过来，到温泉里泡泡。<nl>会让你感觉好点的。,Vellie/tobyCheck,127
,,"That's the way, Otus!",就是这样，欧图斯！,Vellie/tobyCheck,143
,,"The hot spring won't make yer' troubles go away, but...",温泉不能带走你的烦恼，但……,Vellie/tobyCheck,143
,,...Everything will pass.,……事情总会过去的。,Vellie/tobyCheck,143
,,"And when we're in here, hard<nl>times don't feel quite as bad.",当我们泡在这里的时候，再艰难<nl>的日子也感觉没那么难了。,Vellie/tobyCheck,143
,,"Oh, Mandolyn got mugged?",哦，曼德林被抢劫了？,Vellie/tobyCheck,160
,,"No? Someone frightened her, then?",不是？那是有人吓到她了？,Vellie/tobyCheck,160
,,"Well, maybe you want to<nl>relax here for a while.",好吧，也许你只是想在这放松一下。,Vellie/tobyCheck,160
,,"I guess Asio has dragged you<nl>out of town at last, eh Otus?",看来艾西欧终于肯让你出村了，<nl>欧图斯？,Vellie/tobyCheck,188
,,"Ah, I remember when I was out exploring the world.",啊，我想起我在外边探险的日子。,Vellie/tobyCheck,188
,,It's been so long...,那是很久很久以前的事……,Vellie/tobyCheck,188
,,...,……,Vellie/tobyCheck,188
,,Don't forget that you're always welcome in Vellie.,别忘了，维里村永远欢迎你。,Vellie/tobyCheck,188
,,"And if you ever need a bath,<nl>feel free to use my hot spring!",还有，如果你需要泡澡的话，<nl>随时来我的温泉吧！,Vellie/tobyCheck,188
,,Otus!,欧图斯！,Vellie/tobyCheck,214
,,Glad to see you're awake!,你能醒过来真是太好了！,Vellie/tobyCheck,214
,,Geddy's around here somewhere.<nl><40>Probably by the <b>graveyard<b>.,格迪就在这附近。<nl><40>可能在<b>墓地<b>那边吧。,Vellie/tobyCheck,214
,,...,……,Vellie/tobyCheck,224
,,...,……,Vellie/tobyCheck,236
,,Oh!<20> I forgot!,哦！<20>差点忘了！,Vellie/tobyCheck,242
,,"There was a big, red, posh guy checking<nl>on you before the others came back.",在其他人回来前，有个高大时髦<nl>的红色家伙在打听你的情况。,Vellie/tobyCheck,242
,,He skedaddled when I came back<nl>to check on you.,等我回来看你的时候他就不见了。,Vellie/tobyCheck,242
,,Someone you know?,你认识那个人吗？,Vellie/tobyCheck,242
,,Come to rest up in my hot spring?,想在我的温泉里休息一下？,Vellie/tobyCheck,257
,,"Oh, Geddy? If he wasn't with you,<nl>he's probably headed to the <b>graveyard<b>.",嗯，格迪？如果他没呆在你身边<nl>的话，那应该是去<b>墓地<b>那边了。,Vellie/tobyCheck,257
,,"Found Geddy, have ya?",已经找到格迪了吗？,Vellie/tobyCheck,269
,,Good.<30> I'm sure he's hurting like the rest of us.,很好。<30>我知道他和我们一样悲伤。,Vellie/tobyCheck,269
,,We need to take care of each other.,我们都需要安慰彼此。,Vellie/tobyCheck,269
,,I'm glad you're looking after him.,我很高兴有你能照顾他。,Vellie/tobyCheck,269
,,Want to relax a bit here?,想来这放松一下吗？,Vellie/tobyCheck,284
,,This hot spring takes away old aches.,温泉能带走陈年的伤痛。,Vellie/tobyCheck,284
,,It might help you recover.,也许有助于你的恢复。,Vellie/tobyCheck,284
,,"Feeling a little down, Otus?",心情不好，欧图斯？,Vellie/tobyCheck,296
,,Try soaking in the hot spring for a while.,来试试泡温泉吧。,Vellie/tobyCheck,296
,,"Can't guarantee it'll help,<nl>but it's something.",我不保证一定有用，但总比<nl>什么都不做要好。,Vellie/tobyCheck,296
,,"Back already, Otus?",已经回来了，欧特斯？,Vellie/tobyCheck,309
,,"You're out there explorin' the world, aren't you?",你不是在探索外面的世界吗？,Vellie/tobyCheck,309
,,"Aw, how I wish I could go with you!",哇，我真希望能跟你一起去！,Vellie/tobyCheck,309
,,There's nothing like the feeling<nl>of the wind on a new horizon!,没有什么能比新地平线上吹来<nl>的风更让人惬意的了！,Vellie/tobyCheck,309
,,I used to travel all the time!,我以前经常外出旅行！,Vellie/tobyCheck,309
,,"Ah, I miss those days...",啊，真怀念那些日子……,Vellie/tobyCheck,309
,,"Still, no journey beats soaking in the hot spring!",不过，没有哪次旅行比得上在<nl>温泉里泡着！,Vellie/tobyCheck,322
,,You should persuade some of the<nl>Adventians to try my hot spring.,你应该劝说那些爱文德城的人<nl>来试试我的温泉。,Vellie/tobyCheck,334
,,Can't have'em missing out<nl>on the best part of Vellie!,可不能让他们错过维里村中最<nl>棒的地方！,Vellie/tobyCheck,334
,,"You're looking for Geddy, huh?",你在找格迪吗？,Vellie/tobyCheck,352
,,Sometimes we have to give people time.,有时候我们需要给别人一些时间。,Vellie/tobyCheck,352
,,Everyone's discussing whether<nl>we should stay here or evacuate.,所有人都在讨论我们的去留问题。,Vellie/tobyCheck,365
,,"Ya know, before the pirates find us.",你知道，这事得在海盗找到我<nl>们前定好。,Vellie/tobyCheck,365
,,I think I'll join them if they evacuate.,我想如果他们撤离的话我应该<nl>会跟着走。,Vellie/tobyCheck,365
,,I used to travel.,我以前经常外出旅行。,Vellie/tobyCheck,365
,,Maybe I'll get to see some more great things.,也许我还能看到更多美好的事物。,Vellie/tobyCheck,365
,,"Leave me, Otus.",让我单独静会，欧图斯。,Vellie/asioCheck,12
,,I don't want to see you here again.,我不想再在这里见到你。,Vellie/asioCheck,12
,,"Despite everything, <30>you have been a remarkable student, Otus.",不管别人怎么说，<30>你都是我优<nl>秀的学生，欧图斯。,Vellie/asioCheck,54
,,Courage is a trait lost on most Owls.,大部分猫头鹰都失去了勇气这<nl>一品质。,Vellie/asioCheck,54
,,Vellie has been abandoned.,维里村被抛弃了。,Vellie/asioCheck,70
,,The pirates are likely to attack here next.,海盗们接下来很可能会攻击这里。,Vellie/asioCheck,70
,,I'm going to stay here in Vellie.,我会留在维里村。,Vellie/asioCheck,79
,,This is <b>our home<b>.,这里是<b>我们的家园<b>。,Vellie/asioCheck,79
,,You're<10>.<10>.<10>. leaving again now..?,你<10>…<10>…<10>…又要离开了吗？,Vellie/asioCheck,113
,,I'll wait for you here.,我会在这等你。,Vellie/asioCheck,128
,,If there's anything I can help you with...,如果我能帮上什么忙……,Vellie/asioCheck,128
,,Then let me know.,请一定要告诉我。,Vellie/asioCheck,138
,,A way to get beyond the Mesosphere..?,去中间层上空的路……？,Vellie/asioCheck,159
,,I'm not sure.,我不确定。,Vellie/asioCheck,179
,,Maybe you can ask the Professor.,也许你该问问教授。,Vellie/asioCheck,179
,,"I don't like to admit it, but...",虽然我不想承认，但是……,Vellie/asioCheck,179
,,...He would probably know better than me.,……他大概知道得比我多。,Vellie/asioCheck,179
,,"Be careful out there, Otus.",在外面小心点，欧图斯。,Vellie/asioCheck,191
,,"Oh, hi Otus!",哦，嗨，欧图斯！,Vellie/mandolynCheck,46
,,Keeping watch today?,今天负责巡逻？,Vellie/mandolynCheck,46
,,I hear there's been a<nl><b>troublemaker<b> lurking about...,我听说有个<b>捣乱鬼<b>在附近游荡……,Vellie/mandolynCheck,55
